HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,Zip Code,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,target
"$  80,000 - $89,999",OWNER,English,N,18,30-34,English,NEWPORT BEACH,ORANGE,92660,$0 - $0.01,SunOnly,MW,0,Partner,0
"$  40,000 - $49,999",OWNER,English,N,27,70-74,English,TUSTIN,ORANGE,92781,$10.00 - $10.99,7Day,YW,0,CustCall,1
"$  50,000 - $59,999",RENTER,Korean,N,1,25-29,English,CYPRESS,ORANGE,90630,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$400,000 - $499,999",OWNER,Japanese,Y,43,70-74,English,TUSTIN,ORANGE,92780,$10.00 - $10.99,7Day,FW,0,TeleIn,0
"$  30,000 - $39,999",OWNER,Irish,N,9,65-69,English,LAKE FOREST,ORANGE,92630,$0 - $0.01,SunOnly,MM,0,Partner,0
"$175,000 - $199,999",OWNER,Hispanic,Y,30,55-59,English,FOUNTAIN VALLEY,ORANGE,92708,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  70,000 - $79,999",OWNER,Italian,N,23,55-59,English,GARDEN GROVE,ORANGE,92840,$0.01 - $0.50,7Day,MM,0,RetenIn,1
"Under $20,000",OWNER,unknown,N,9,75 years or more,English,SEAL BEACH,ORANGE,90740,$10.00 - $10.99,7Day,ME,0,CustCall,1
"$300,000 - $399,999",OWNER,English,N,26,75 years or more,English,TUSTIN,ORANGE,92781,$10.00 - $10.99,7Day,MW,3,CustCall,1
"$  60,000 - $69,999",OWNER,Irish,N,5,45-49,English,PLACENTIA,ORANGE,92870,$2.00 - $2.99,Fri-Sun,YW,0,TeleIn,0
"$100,000 - $124,999",OWNER,English,N,24,70-74,English,YORBA LINDA,ORANGE,92886,$10.00 - $10.99,7Day,MW,3,CustCall,1
"$  40,000 - $49,999",OWNER,Hispanic,N,9,55-59,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  40,000 - $49,999",RENTER,Scottish (Scotch),N,9,70-74,English,COSTA MESA,ORANGE,92627,$0.51 - $0.99,SunOnly,YM,0,TeleIn,0
"Under $20,000",OWNER,Hispanic,N,16,75 years or more,English,LONG BEACH,LOS ANGELES,90805,$3.00 - $3.99,THU-SUN,FE,0,Kiosk1,1
"$300,000 - $399,999",RENTER,unknown,N,6,45-49,English,RANCHO SANTA MARGARITA,ORANGE,92688,$1.00 - $1.99,SunOnly,YW,0,CustCall,0
"$  40,000 - $49,999",OWNER,Irish,N,23,45-49,English,GARDEN GROVE,ORANGE,92845,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$500,000 Plus",OWNER,English,N,15,60-64,English,LAKE FOREST,ORANGE,92630,$0.01 - $0.50,SunOnly,MW,0,RetenIn,1
"$175,000 - $199,999",RENTER,English,N,2,45-49,English,LADERA RANCH,ORANGE,92694,$3.00 - $3.99,7DAY,FW,0,Kiosk1,1
"$125,000 - $149,999",OWNER,English,N,29,75 years or more,English,FULLERTON,ORANGE,92831,$6.00 - $6.99,7Day,MM,0,CustCall,1
"$  60,000 - $69,999",OWNER,Hispanic,Y,6,45-49,English,LONG BEACH,LOS ANGELES,90810,$1.00 - $1.99,7DayOL,FE,0,CircAdm,0
"Under $20,000",OWNER,German,N,37,70-74,English,ANAHEIM,ORANGE,92804,$0.51 - $0.99,Thu-Sun,MM,0,Crew,0
"$  70,000 - $79,999",RENTER,English,N,16,55-59,English,ANAHEIM,ORANGE,92802,$0.51 - $0.99,SunOnly,ME,0,TeleOut,0
"$125,000 - $149,999",OWNER,Chinese,N,9,50-54,Chinese,IRVINE,ORANGE,92614,$0 - $0.01,SunOnly,MW,0,Partner,0
"$500,000 Plus",OWNER,Jewish,N,11,65-69,English,TRABUCO CANYON,ORANGE,92679,$2.00 - $2.99,SunOnly,FW,0,TeleIn,0
"$300,000 - $399,999",OWNER,unknown,N,34,65-69,English,IRVINE,ORANGE,92614,$2.00 - $2.99,7Day,YM,0,Crew,0
"Under $20,000",RENTER,Hispanic,N,2,45-49,Spanish,SANTA ANA,ORANGE,92704,$0.01 - $0.50,SunOnly,FE,0,Crew,1
"$100,000 - $124,999",OWNER,German,Y,38,65-69,English,HUNTINGTON BEACH,ORANGE,92646,$0.01 - $0.50,SunOnly,MM,1,CustCall,1
"$200,000 - $249,999",OWNER,Chinese,Y,6,40-44,English,CHINO HILLS,SAN BERNARDINO,91709,$0 - $0.01,SunOnly,FM,0,Partner,1
"$  80,000 - $89,999",OWNER,German,N,5,60-64,English,MISSION VIEJO,ORANGE,92691,$0 - $0.01,SunOnly,YM,0,CircAdm,0
"$  80,000 - $89,999",OWNER,Chinese,N,6,55-59,English,BUENA PARK,ORANGE,90620,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  70,000 - $79,999",OWNER,English,N,1,35-39,English,SAN CLEMENTE,ORANGE,92672,$2.00 - $2.99,7Day,YW,0,TeleIn,0
"$300,000 - $399,999",OWNER,English,N,21,75 years or more,English,TUSTIN,ORANGE,92781,$10.00 - $10.99,7Day,MW,3,CustCall,1
"$  30,000 - $39,999",OWNER,Italian,N,2,35-39,English,GARDEN GROVE,ORANGE,92844,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  50,000 - $59,999",OWNER,Vietnamese,N,18,50-54,Vietnamese,ANAHEIM,ORANGE,92802,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  20,000 - $29,999",RENTER,Hispanic,Y,8,35-39,Spanish,ANAHEIM,ORANGE,92805,$0 - $0.01,SunOnly,FE,0,Partner,0
"$100,000 - $124,999",OWNER,English,N,22,45-49,English,TUSTIN,ORANGE,92780,$4.00 - $4.99,7Day,MW,0,Email,1
"Under $20,000",RENTER,Hispanic,Y,5,25-29,English,SANTA ANA,ORANGE,92707,$7.00 - $7.99,7Day,FE,0,Kiosk,0
"$100,000 - $124,999",RENTER,English,N,1,30-34,English,ALISO VIEJO,ORANGE,92656,$2.00 - $2.99,SatSun,YM,0,OutMedia,0
"$  30,000 - $39,999",RENTER,English,N,1,40-44,English,LONG BEACH,LOS ANGELES,90805,$2.00 - $2.99,SunOnly,FM,0,TeleIn,0
"$  70,000 - $79,999",OWNER,Vietnamese,N,1,30-34,Vietnamese,WESTMINSTER,ORANGE,92683,$0 - $0.01,Thu-Sun,ME,0,CircAdm,0
"$  90,000 - $99,999",OWNER,Jewish,Y,35,75 years or more,English,PLACENTIA,ORANGE,92870,$0 - $0.01,SunOnly,FM,0,Partner,0
"$300,000 - $399,999",OWNER,English,N,8,45-49,English,IRVINE,ORANGE,92620,$1.00 - $1.99,SunOnly,MW,0,CustCall,0
"$  40,000 - $49,999",OWNER,Hispanic,N,7,30-34,Spanish,HUNTINGTON BEACH,ORANGE,92646,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,2,25-29,Spanish,SANTA ANA,ORANGE,92701,$0.01 - $0.50,SunOnly,FE,0,TeleIn,1
"$125,000 - $149,999",RENTER,Korean,N,8,55-59,English,TUSTIN,ORANGE,92782,$1.00 - $1.99,7Day,YM,0,CircAdm,0
"$  80,000 - $89,999",OWNER,Japanese,N,11,24 years or less,Japanese,IRVINE,ORANGE,92606,$4.00 - $4.99,7Day,MW,0,TeleOut,0
"$125,000 - $149,999",OWNER,Dutch,N,1,65-69,English,ALISO VIEJO,ORANGE,92656,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$100,000 - $124,999",OWNER,English,N,3,60-64,English,SAN CLEMENTE,ORANGE,92673,$9.00 - $9.99,7Day,MW,0,TeleIn,0
"$  20,000 - $29,999",RENTER,Portuguese,N,2,25-29,Portuguese,COSTA MESA,ORANGE,92626,$1.00 - $1.99,SunOnly,YM,0,Crew,0
"$  60,000 - $69,999",RENTER,English,N,7,45-49,English,SAN CLEMENTE,ORANGE,92672,$0 - $0.01,7Day,YM,0,Partner,1
"$300,000 - $399,999",OWNER,English,N,9,55-59,English,NEWPORT BEACH,ORANGE,92663,$2.00 - $2.99,Thu-Sun,MW,0,Crew,0
"$  70,000 - $79,999",OWNER,unknown,N,28,65-69,Spanish,HUNTINGTON BEACH,ORANGE,92647,$1.00 - $1.99,SunOnly,MW,0,Crew,0
"$125,000 - $149,999",OWNER,Swedish,N,37,65-69,English,LA HABRA,LOS ANGELES,90631,$1.00 - $1.99,SunOnlyT,YW,0,TeleIn,0
"$  20,000 - $29,999",RENTER,unknown,N,1,24 years or less,English,ORANGE,ORANGE,92867,$2.00 - $2.99,Thu-Sun,YM,0,Crew,0
"$  40,000 - $49,999",OWNER,Greek,N,9,35-39,English,ANAHEIM,ORANGE,92805,$1.00 - $1.99,SunOnly,FM,0,TeleOut,0
"$  90,000 - $99,999",OWNER,Italian,Y,13,45-49,English,WHITTIER,LOS ANGELES,90604,$0.01 - $0.50,SunOnly,YM,0,Partner,0
"$  80,000 - $89,999",RENTER,English,N,3,65-69,English,HUNTINGTON BEACH,ORANGE,92648,$3.00 - $3.99,7Day,YM,0,SCinsert,0
"$125,000 - $149,999",OWNER,Scottish (Scotch),Y,15,50-54,English,HUNTINGTON BEACH,ORANGE,92646,$1.00 - $1.99,Thu-Sun,MW,1,Email,0
"Under $20,000",OWNER,Swedish,N,19,75 years or more,English,SEAL BEACH,ORANGE,90740,$5.00 - $5.99,7Day,ME,0,Kiosk,1
"$  80,000 - $89,999",OWNER,Norwegian,Y,38,75 years or more,English,SANTA ANA,ORANGE,92705,$0.01 - $0.50,SunOnly,FM,0,TeleIn,1
"$  60,000 - $69,999",RENTER,Portuguese,N,3,50-54,English,BUENA PARK,ORANGE,90620,$3.00 - $3.99,THU-SUN,YM,0,Crew1,1
"$  30,000 - $39,999",RENTER,Japanese,N,3,75 years or more,Japanese,FULLERTON,ORANGE,92835,$5.00 - $5.99,7DayT,MM,0,CustCall,0
"$  60,000 - $69,999",OWNER,Hispanic,N,14,45-49,Spanish,ANAHEIM,ORANGE,92805,$0 - $0.01,SunOnly,FM,0,Partner,1
"$125,000 - $149,999",OWNER,Filipino (Philippine),N,18,50-54,English,FOUNTAIN VALLEY,ORANGE,92708,$0 - $0.01,SunOnly,FM,0,Partner,0
"$125,000 - $149,999",OWNER,English,N,43,70-74,English,HUNTINGTON BEACH,ORANGE,92648,$2.00 - $2.99,SunOnly,MW,0,DirectMl,1
"Under $20,000",RENTER,unknown,N,2,30-34,English,ANAHEIM,ORANGE,92801,$4.00 - $4.99,7Day,YM,0,Crew,0
"$175,000 - $199,999",OWNER,Italian,Y,8,40-44,English,ANAHEIM,ORANGE,92807,$0.01 - $0.50,SunOnly,FW,0,Partner,0
"$  60,000 - $69,999",OWNER,Hispanic,N,5,55-59,English,CORONA,RIVERSIDE,92879,$0.51 - $0.99,7Day,MW,0,TeleIn,0
"$500,000 Plus",OWNER,English,N,8,55-59,English,HUNTINGTON BEACH,ORANGE,92649,$2.00 - $2.99,7Day,FM,0,TeleIn,0
"$100,000 - $124,999",OWNER,English,N,20,75 years or more,English,LAGUNA WOODS,ORANGE,92637,$3.00 - $3.99,Thu-Sun,MM,0,CustCall,1
"$100,000 - $124,999",OWNER,Chinese,N,6,40-44,English,IRVINE,ORANGE,92619,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$125,000 - $149,999",OWNER,Korean,N,7,40-44,Korean,CERRITOS,LOS ANGELES,90703,$4.00 - $4.99,7Day,MW,0,DirectMl,0
"$500,000 Plus",OWNER,English,N,23,60-64,English,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,Thu-Sun,MW,0,CustCall,1
"$  50,000 - $59,999",OWNER,English,N,12,75 years or more,English,FULLERTON,ORANGE,92832,$0 - $0.01,7Day,FM,0,Partner,1
"$100,000 - $124,999",OWNER,English,N,24,60-64,English,HUNTINGTON BEACH,ORANGE,92647,$3.00 - $3.99,Thu-Sun,MW,0,Internet,1
"$  70,000 - $79,999",OWNER,Welsh,N,20,65-69,English,ORANGE,ORANGE,92869,$0 - $0.01,Thu-Sun,MM,0,CircAdm,0
"$100,000 - $124,999",OWNER,Vietnamese,N,4,75 years or more,English,LAGUNA NIGUEL,ORANGE,92677,$0.01 - $0.50,7Day,MW,0,Partner,1
"$500,000 Plus",OWNER,English,N,28,55-59,English,LAKE FOREST,ORANGE,92629,$2.00 - $2.99,7Day,MW,0,CustCall,1
"$150,000 - $174,999",OWNER,Hispanic,Y,21,50-54,English,CORONA,RIVERSIDE,92882,$0 - $0.01,SunOnly,FM,0,Partner,1
"$  20,000 - $29,999",RENTER,English,N,10,40-44,English,LONG BEACH,LOS ANGELES,90804,$0.01 - $0.50,SunOnly,YM,0,Partner,0
"$125,000 - $149,999",OWNER,English,N,23,55-59,English,COSTA MESA,ORANGE,92626,$0 - $0.01,SunOnly,MW,0,DirectMl,1
"$200,000 - $249,999",OWNER,Hispanic,Y,11,50-54,Spanish,MISSION VIEJO,ORANGE,92691,$0.01 - $0.50,Thu-Sun,MW,0,Kiosk,0
"$150,000 - $174,999",OWNER,Irish,N,10,75 years or more,English,ANAHEIM,ORANGE,92807,$0.01 - $0.50,SunOnly,MM,0,Partner,1
"$  50,000 - $59,999",OWNER,Hispanic,N,13,45-49,Spanish,ANAHEIM,ORANGE,92803,$0 - $0.01,SunOnly,FM,0,Partner,1
"$250,000 - $299,999",OWNER,Scottish (Scotch),N,20,55-59,English,LONG BEACH,LOS ANGELES,90807,$1.00 - $1.99,SunOnly,MM,0,Partner,0
"$500,000 Plus",OWNER,English,N,7,55-59,English,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,7Day,MW,6,CustCall,1
"$150,000 - $174,999",OWNER,Italian,N,23,70-74,English,ORANGE,ORANGE,92869,$10.00 - $10.99,7Day,MW,0,DirectMl,1
"$  30,000 - $39,999",RENTER,English,N,2,25-29,English,LONG BEACH,LOS ANGELES,90805,$0.01 - $0.50,SunOnly,YM,0,Crew1,1
"Under $20,000",RENTER,Hispanic,N,1,35-39,Spanish,LONG BEACH,LOS ANGELES,90804,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$100,000 - $124,999",OWNER,Hispanic,N,15,45-49,Spanish,ANAHEIM,ORANGE,92805,$0 - $0.01,SunOnly,FM,0,Partner,1
"$  70,000 - $79,999",OWNER,Hispanic,Y,11,50-54,Spanish,SANTA ANA,ORANGE,92707,$4.00 - $4.99,7Day,FM,0,TeleOut,0
"Under $20,000",RENTER,Hispanic,N,11,30-34,English,ANAHEIM,ORANGE,92804,$0 - $0.01,SunOnly,FE,0,Partner,1
"$  80,000 - $89,999",OWNER,Jewish,N,38,75 years or more,English,IRVINE,ORANGE,92603,$10.00 - $10.99,7Day,MW,0,VRU,1
"$  60,000 - $69,999",RENTER,English,N,5,55-59,English,GARDEN GROVE,ORANGE,92845,$1.00 - $1.99,Thu-Sun,YM,0,Kiosk,0
"$175,000 - $199,999",OWNER,Irish,N,29,75 years or more,English,IRVINE,ORANGE,92614,$3.00 - $3.99,SunOnly,MM,0,CustCall,0
"$300,000 - $399,999",OWNER,Italian,N,1,50-54,English,IRVINE,ORANGE,92603,$5.00 - $5.99,7Day,YW,3,CustCall,0
"$  60,000 - $69,999",OWNER,Hispanic,Y,17,45-49,Spanish,BUENA PARK,ORANGE,90620,$0 - $0.01,SunOnly,FM,0,Partner,0
"$  40,000 - $49,999",OWNER,English,N,5,30-34,English,LAGUNA HILLS,ORANGE,92653,$0.51 - $0.99,SunOnly,FE,0,CircAdm,0
"$100,000 - $124,999",OWNER,Hispanic,N,1,40-44,English,LA HABRA,ORANGE,90631,$0.01 - $0.50,SunOnly,MM,0,Crew,1
"$  20,000 - $29,999",OWNER,English,N,24,70-74,English,LONG BEACH,LOS ANGELES,90804,$9.00 - $9.99,7DayOL,MM,0,CircAdm,0
"$150,000 - $174,999",OWNER,German,Y,24,45-49,English,CHINO HILLS,SAN BERNARDINO,91709,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$  30,000 - $39,999",OWNER,English,N,23,70-74,English,ALISO VIEJO,ORANGE,92653,$4.00 - $4.99,7Day,FM,0,TeleIn,1
"Under $20,000",OWNER,Hispanic,N,12,65-69,Spanish,HUNTINGTON BEACH,ORANGE,92646,$2.00 - $2.99,Thu-Sun,ME,0,DirectMl,0
"$  20,000 - $29,999",RENTER,Hispanic,Y,6,50-54,Spanish,WESTMINSTER,ORANGE,92683,$0.01 - $0.50,SunOnly,FE,0,Partner,0
"$150,000 - $174,999",OWNER,English,N,10,25-29,English,RANCHO SANTA MARGARITA,ORANGE,92688,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$  60,000 - $69,999",OWNER,Portuguese,Y,24,75 years or more,English,SANTA ANA,ORANGE,92705,$0 - $0.01,SunOnly,FM,0,Partner,0
"Under $20,000",OWNER,Vietnamese,N,8,25-29,English,GARDEN GROVE,ORANGE,92843,$4.00 - $4.99,7Day,FM,0,TeleIn,0
"$300,000 - $399,999",OWNER,English,Y,3,50-54,English,IRVINE,ORANGE,92612,$0.01 - $0.50,Thu-Sun,MW,0,Partner,0
"$  70,000 - $79,999",RENTER,unknown,N,1,30-34,English,NEWPORT BEACH,ORANGE,92660,$3.00 - $3.99,7Day,YW,0,CustCall,1
"Under $20,000",RENTER,Hispanic,N,4,25-29,English,LONG BEACH,LOS ANGELES,90813,$1.00 - $1.99,SunOnly,FE,0,TeleOut,0
"$  20,000 - $29,999",RENTER,French,N,4,35-39,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,Thu-Sun,FE,0,TeleIn,0
"$125,000 - $149,999",OWNER,Russian,N,5,60-64,English,YORBA LINDA,ORANGE,92886,$0 - $0.01,7Day,FM,0,Partner,1
"$300,000 - $399,999",OWNER,Irish,Y,9,45-49,English,HUNTINGTON BEACH,ORANGE,92649,$0.01 - $0.50,SunOnly,YM,0,Partner,0
"$  90,000 - $99,999",OWNER,Irish,N,1,35-39,English,LAKE FOREST,ORANGE,92630,$0 - $0.01,SunOnly,YM,0,Partner,1
"$  50,000 - $59,999",OWNER,Hispanic,N,38,75 years or more,Spanish,LA HABRA,ORANGE,90631,$1.00 - $1.99,Thu-Sun,FM,0,Crew,0
"$100,000 - $124,999",OWNER,Hispanic,Y,13,45-49,Spanish,CORONA,RIVERSIDE,92881,$0 - $0.01,SunOnly,FM,0,Partner,1
"$  90,000 - $99,999",OWNER,German,N,23,55-59,English,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,Thu-Sun,MW,0,DirectMl,1
"Under $20,000",OWNER,English,N,39,75 years or more,English,FULLERTON,ORANGE,92833,$2.00 - $2.99,SoooooS,MM,0,TeleIn,0
"$175,000 - $199,999",OWNER,Indian,N,4,40-44,English,IRVINE,ORANGE,92604,$0.01 - $0.50,SunOnly,MW,0,Internet,1
"$300,000 - $399,999",OWNER,English,N,38,75 years or more,English,LAKE FOREST,ORANGE,92630,$10.00 - $10.99,7Day,MW,1,CustCall,1
"Under $20,000",RENTER,Hispanic,N,7,40-44,Spanish,ANAHEIM,ORANGE,92805,$3.00 - $3.99,THU-SUN,ME,0,Crew1,1
"Under $20,000",RENTER,Hispanic,N,6,24 years or less,Spanish,LA HABRA,ORANGE,90631,$3.00 - $3.99,SoooTFS,FE,0,Crew,0
"$200,000 - $249,999",OWNER,Hispanic,N,11,35-39,English,BREA,ORANGE,92821,$0 - $0.01,SunOnly,FW,0,Partner,1
"Under $20,000",RENTER,Japanese,N,1,30-34,English,FULLERTON,ORANGE,92831,$0.01 - $0.50,Thu-Sun,YM,0,Crew,0
"$100,000 - $124,999",OWNER,Scottish (Scotch),N,40,75 years or more,English,PLACENTIA,ORANGE,92870,$10.00 - $10.99,7Day,MM,0,CustCall,1
"$  90,000 - $99,999",OWNER,unknown,Y,5,50-54,English,LA MIRADA,LOS ANGELES,90638,$0.01 - $0.50,7Day,MW,0,CustCall,0
"Under $20,000",RENTER,Hispanic,N,2,50-54,Spanish,GARDEN GROVE,ORANGE,92841,$0.01 - $0.50,SunOnly,FE,0,Crew1,1
"Under $20,000",OWNER,English,N,35,75 years or more,English,ANAHEIM,ORANGE,92805,$10.00 - $10.99,7Day,FM,0,CustCall,1
"$150,000 - $174,999",OWNER,English,N,16,60-64,English,ANAHEIM,ORANGE,92806,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  70,000 - $79,999",OWNER,English,N,11,60-64,English,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,7Day,MW,7,CustCall,1
"$  90,000 - $99,999",OWNER,Vietnamese,Y,27,65-69,English,ALISO VIEJO,ORANGE,92656,$7.00 - $7.99,7Day,MW,0,SCinsert,1
"$  60,000 - $69,999",OWNER,Arab,N,4,50-54,English,IRVINE,ORANGE,92604,$0.01 - $0.50,SunOnly,MW,0,Internet,1
"$  20,000 - $29,999",RENTER,English,N,5,55-59,English,GARDEN GROVE,ORANGE,92841,$1.00 - $1.99,SunOnly,YM,0,TeleIn,0
"Under $20,000",OWNER,Hispanic,N,10,50-54,Spanish,SANTA ANA,ORANGE,92707,$0 - $0.01,SunOnly,FM,0,Partner,1
"$150,000 - $174,999",OWNER,English,N,25,55-59,English,SANTA ANA,ORANGE,92705,$10.00 - $10.99,7Day,MM,3,CustCall,1
"$100,000 - $124,999",OWNER,English,N,12,35-39,English,LAKE FOREST,ORANGE,92630,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$  70,000 - $79,999",OWNER,Austrian,N,9,50-54,English,SAN CLEMENTE,ORANGE,92672,$6.00 - $6.99,7Day,MM,0,CustCall,0
"$  90,000 - $99,999",RENTER,Vietnamese,N,2,60-64,English,TUSTIN,ORANGE,92780,$1.00 - $1.99,SunOnly,YM,0,Internet,0
"$  50,000 - $59,999",OWNER,English,N,32,75 years or more,English,WESTMINSTER,ORANGE,92683,$1.00 - $1.99,7Day,MM,4,SCinsert,1
"$500,000 Plus",OWNER,Italian,N,20,50-54,English,NEWPORT BEACH,ORANGE,92660,$5.00 - $5.99,7Day,MW,1,System,1
"$  50,000 - $59,999",OWNER,Persian,N,21,75 years or more,Farsi (Persian),LAGUNA NIGUEL,ORANGE,92677,$0.01 - $0.50,Thu-Sun,MW,0,TeleIn,1
"$150,000 - $174,999",OWNER,Irish,N,37,75 years or more,English,IRVINE,ORANGE,92604,$2.00 - $2.99,7Day,MW,6,TeleIn,1
"$100,000 - $124,999",OWNER,Filipino (Philippine),Y,16,55-59,English,LADERA RANCH,ORANGE,92694,$7.00 - $7.99,7Day,FW,0,Crew,0
"$  60,000 - $69,999",OWNER,Hispanic,N,30,60-64,Spanish,BUENA PARK,ORANGE,90620,$0.01 - $0.50,SunOnly,MM,0,Partner,1
"$175,000 - $199,999",OWNER,Irish,N,12,50-54,English,YORBA LINDA,ORANGE,92886,$7.00 - $7.99,Soooooo,MW,0,Internet,0
"$  20,000 - $29,999",OWNER,Indian,Y,20,45-49,English,LONG BEACH,LOS ANGELES,90805,$0.01 - $0.50,7Day,YM,0,Crew,1
"$175,000 - $199,999",OWNER,Italian,Y,7,40-44,English,CYPRESS,ORANGE,90630,$0 - $0.01,SunOnly,YM,0,TeleIn,0
"Under $20,000",RENTER,Hispanic,N,1,24 years or less,Spanish,ORANGE,ORANGE,92868,$0.01 - $0.50,7Day,FE,0,Crew1,1
"$100,000 - $124,999",OWNER,Vietnamese,N,19,50-54,English,MISSION VIEJO,ORANGE,92691,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$  20,000 - $29,999",OWNER,Hispanic,N,33,70-74,English,LAKEWOOD,LOS ANGELES,90713,$0.01 - $0.50,7Day,MW,0,CircAdm,1
"$  90,000 - $99,999",OWNER,Irish,N,5,30-34,English,LAKE FOREST,ORANGE,92630,$1.00 - $1.99,SunOnlyT,YM,0,TeleIn,0
"$  80,000 - $89,999",OWNER,Italian,N,12,55-59,English,NEWPORT BEACH,ORANGE,92658,$0.01 - $0.50,Thu-Sun,MW,0,Internet,1
"$200,000 - $249,999",OWNER,English,N,12,55-59,English,BREA,ORANGE,92821,$0 - $0.01,Thu-Sun,YW,0,Partner,1
"$  20,000 - $29,999",OWNER,Welsh,Y,8,55-59,English,SANTA ANA,ORANGE,92703,$0.01 - $0.50,7Day,YM,0,Crew,1
"$200,000 - $249,999",OWNER,Russian,Y,7,40-44,English,CORONA,RIVERSIDE,92881,$0 - $0.01,SunOnly,FW,0,Partner,0
"$100,000 - $124,999",OWNER,Irish,N,28,65-69,English,ORANGE,ORANGE,92868,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$  40,000 - $49,999",RENTER,French,N,2,40-44,English,SEAL BEACH,ORANGE,90740,$0 - $0.01,SunOnly,YM,0,Partner,0
"$100,000 - $124,999",OWNER,Vietnamese,Y,11,35-39,English,FOUNTAIN VALLEY,ORANGE,92708,$0 - $0.01,7Day,YM,0,Partner,1
"$300,000 - $399,999",OWNER,English,Y,4,40-44,English,LADERA RANCH,ORANGE,92694,$3.00 - $3.99,Thu-Sun,FW,0,Kiosk1,1
"$200,000 - $249,999",OWNER,Korean,Y,8,50-54,Korean,ORANGE,ORANGE,92867,$0 - $0.01,SunOnly,YW,0,Partner,0
"$125,000 - $149,999",OWNER,Chinese,N,1,40-44,English,FULLERTON,ORANGE,92831,$0 - $0.01,7Day,YM,0,Partner,1
"$400,000 - $499,999",OWNER,English,N,27,65-69,English,MISSION VIEJO,ORANGE,92692,$7.00 - $7.99,Thu-Sun,YW,0,CustCall,0
"$150,000 - $174,999",OWNER,Vietnamese,N,6,40-44,English,FOUNTAIN VALLEY,ORANGE,92708,$0 - $0.01,7Day,MW,0,Partner,1
"$150,000 - $174,999",OWNER,German,N,1,30-34,English,ORANGE,ORANGE,92869,$0.01 - $0.50,7Day,YW,0,AdvAdm,0
"$  50,000 - $59,999",OWNER,Hispanic,N,5,30-34,English,FULLERTON,ORANGE,92833,$0 - $0.01,7Day,FM,0,Partner,1
"$  50,000 - $59,999",OWNER,Vietnamese,N,14,50-54,English,GARDEN GROVE,ORANGE,92843,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,11,75 years or more,English,IRVINE,ORANGE,92604,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$150,000 - $174,999",OWNER,German,N,23,75 years or more,English,HUNTINGTON BEACH,ORANGE,92648,$10.00 - $10.99,7Day,MM,0,VRU,1
"$150,000 - $174,999",OWNER,English,N,38,70-74,English,FOUNTAIN VALLEY,ORANGE,92708,$5.00 - $5.99,7Day,MW,0,TeleIn,1
"$  30,000 - $39,999",OWNER,Arab,N,13,65-69,English,BUENA PARK,ORANGE,90620,$3.00 - $3.99,7Day,MM,0,TeleIn,0
"$125,000 - $149,999",OWNER,French,N,20,55-59,French,COSTA MESA,ORANGE,92626,$0 - $0.01,SunOnly,MW,0,Partner,0
"$100,000 - $124,999",OWNER,English,N,11,55-59,English,IRVINE,ORANGE,92612,$10.00 - $10.99,7Day,YM,2,CustCall,1
"$400,000 - $499,999",OWNER,English,N,17,75 years or more,English,ORANGE,ORANGE,92867,$10.00 - $10.99,7Day,MW,1,CustCall,1
"$300,000 - $399,999",OWNER,English,N,15,65-69,English,HUNTINGTON BEACH,ORANGE,92646,$10.00 - $10.99,7Day,MW,1,CustCall,1
"$  90,000 - $99,999",OWNER,English,N,15,75 years or more,English,HUNTINGTON BEACH,ORANGE,92648,$4.00 - $4.99,7Day,FM,0,Kiosk,0
"$  30,000 - $39,999",OWNER,German,N,18,75 years or more,English,LAGUNA WOODS,ORANGE,92637,$0 - $0.01,Thu-SunT,ME,0,CircAdm,0
"$150,000 - $174,999",OWNER,English,Y,14,55-59,English,ORANGE,ORANGE,92866,$0.01 - $0.50,SunOnly,FM,0,Internet,1
